IDs	original.IDs	studies	DB.IDs	PubChem.CIDs	preferred.drug.names	collections	Santi.MoAs	main.MoAs	collapsed.MoAs
sig-21093	K17743125	CTRP	DB05015	6918638	BELINOSTAT	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21317	K72723676	PRISM	DB11125	2335	BENZETHONIUM	SSc	Other	Ion channel blocker	Other
sig-21136	K29415052	PRISM	NA	11978790	BGT226	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-20897	1086	GDSC	DB16107	11364421	BI-2536	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21275	K64890080	CTRP	DB16107	11364421	BI-2536	SSc	PLK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21276	K64890080	PRISM	DB16107	11364421	BI-2536	SSc	PLK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21307	K70914287	PRISM	NA	6918508	BIBX-1382	SSc	NA	ErbB inhibitor	EGFR inhibitor
sig-21095	K18589165	CTRP	DB11782	49836020	BIRINAPANT	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21308	K71221037	PRISM	DB11782	49836020	BIRINAPANT	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-20995	A42083487	CTRP	NA	46930982	BLEOMYCIN A2	SSc	NA	DNA replication inhibitor	DNA related agent
sig-20899	1091	GDSC	NA	135440466	BMS-536924	SSc	Other	IGF1R signaling inhibitor	IGF1R signaling inhibitor
sig-21150	K34581968	CTRP	NA	135440466	BMS-536924	SSc	Other	IGF1R signaling inhibitor	IGF1R signaling inhibitor
sig-21326	K76239644	PRISM	DB11665	11349170	BMS-690514	SSc	EGFR inhibitor	Multi-kinase inhibitor	EGFR inhibitor;VEGFR inhibitor
sig-20962	2171	GDSC	DB15399	24785538	BMS-754807	SSc	AKT inhibitor	IGF1R signaling inhibitor	IGF1R signaling inhibitor
sig-21074	K13049116	CTRP	DB15399	24785538	BMS-754807	SSc	AKT inhibitor	IGF1R signaling inhibitor	IGF1R signaling inhibitor
sig-21377	K88510285	CTRP	DB00188	387447	BORTEZOMIB	SSc	Other	Ubiquitin-proteasome system inhibitor	Ubiquitin-proteasome system inhibitor
sig-21378	K88510285	PRISM	DB00188	387447	BORTEZOMIB	SSc	Other	Ubiquitin-proteasome system inhibitor	Ubiquitin-proteasome system inhibitor
sig-21387	K90746395	CTRP	DB06616	5328940	BOSUTINIB	SSc	SRC inhibitor	Multi-kinase inhibitor	BCR-ABL inhibitor;SRC inhibitor
sig-21454	M76874421	CTRP	NA	NA	BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21018	A86708339	CTRP	NA	2871966	BRD-A86708339	SSc	Other		Other
sig-21020	A94377914	CTRP	NA	124202324	BRD-A94377914	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21026	K01737880	CTRP	NA	44484893	BRD-K01737880	SSc	Other		Other
sig-21427	M23096439	CTRP	NA	NA	BRD-K27188169:NAVITOCLAX (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21142	K30748066	CTRP	NA	11257553	BRD-K30748066	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21149	K34222889	CTRP	NA	89928392	BRD-K34222889	SSc	Other	Piperlongumine analog	Other
sig-21155	K35604418	CTRP	NA	135691163	BRD-K35604418	SSc	Other	Pro-apoptotic agent	Pro-apoptotic agent
sig-21185	K45681478	CTRP	NA	1716436	BRD-K45681478	SSc	Other		Other
sig-21217	K55116708	CTRP	NA	44507138	BRD-K55116708	SSc	Other		Other
sig-21245	K61166597	CTRP	NA	67291369	BRD-K61166597	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21262	K63431240	CTRP	NA	54618771	BRD-K63431240	SSc	Other		Other
sig-21281	K66453893	CTRP	NA	44202524	BRD-K66453893	SSc	Other		Other
sig-21282	K66532283	CTRP	NA	71466445	BRD-K66532283	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21257	K62825658	CTRP	NA	54143018	BRD-K70511574	SSc	PLK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21316	K71935468	CTRP	NA	6729245	BRD-K71935468	SSc	Other	ROS/RNS modulator	ROS/RNS modulator
sig-21404	K94991378	CTRP	NA	6731789	BRD-K94991378	SSc	Other	ROS/RNS modulator	ROS/RNS modulator
sig-21406	K97651142	CTRP	NA	NA	BRD-K97651142	SSc	Other	Aphrocallistin derivative	Other
sig-21411	K99006945	CTRP	NA	71576742	BRD-K99006945	SSc	Other		Other
sig-21381	K89329876	CTRP	NA	613000	BRD9876	SSc	Other	Cell cycle arrest	Cell cycle arrest
sig-21455	M80099012	CTRP	NA	NA	BRD9876:MK-1775 (4:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-20982	A31107743	CTRP	DB07348	5287620	BREFELDIN A	SSc	NA	Protein trafficking inhibitor	Other
